Pinyin	IPA	Gender	Nt	F1	F2	F3	t
a1	 ˈɑ	F	1	813;	1402;	2917;	0.486;
ai1	 ˈa‍i	F	2	1083;303;	1604;1914;	2644;2970;	0.744;0.894;
ai2	 ˈa‍i	F	2	963;394;	1587;1993;	2763;3014;	0.569;0.824;
ai3	 ˈa‍i	F	2	402;370;	2163;1986;	3011;3030;	0.779;0.769;
ai4	 ˈa‍i	F	2	869;416;	1570;2151;	2684;2833;	0.516;0.661;
an1	 ˈan	F	1	846;	1468;	2422;	0.433;
an4	 ˈan	F	1	848;	1618;	2800;	0.239;
ang1	 ˈɑŋ	F	1	808;	1400;	2871;	0.451;
ang2	 ˈɑŋ	F	1	902;	1273;	2591;	0.364;
ang4	 ˈɑŋ	F	1	783;	1448;	2323;	0.371;
ao1	 ˈɑ‍u	F	2	843;635;	1130;905;	3110;3133;	0.411;0.461;
ao2	 ˈɑ‍u	F	2	829;417;	1149;788;	2884;2550;	0.331;0.456;
ba1	 pˈɑ	F	1	740;	1308;	2610;	0.419;
ba2	 pˈɑ	F	1	821;	1385;	2448;	0.518;
ba4	 pˈɑ	F	1	921;	1471;	2597;	0.304;
bai2	 pˈa‍i	F	2	935;337;	1432;1864;	2610;2861;	0.307;0.572;
bai3	 pˈa‍i	F	2	921;317;	1500;2045;	2741;2977;	0.481;0.944;
bai4	 pˈa‍i	F	2	981;981;	1529;1529;	2742;2742;	0.600;0.600;
ban1	 pˈan	F	1	928;	1455;	2670;	0.607;
ban3	 pˈan	F	1	430;	1773;	2900;	0.859;
ban4	 pˈan	F	1	887;	1405;	2580;	0.281;
bang1	 pˈaŋ	F	1	849;	1419;	2708;	0.415;
bang4	 pˈaŋ	F	1	838;	1469;	2778;	0.522;
bao1	 pˈɑ‍u	F	2	829;537;	1163;860;	2936;2940;	0.685;0.770;
bao2	 pˈɑ‍u	F	2	839;583;	1171;829;	2855;3199;	0.413;0.488;
bao3	 pˈɑ‍u	F	2	943;416;	1439;944;	2950;2826;	0.546;0.897;
bao4	 pˈɑ‍u	F	2	837;547;	1162;1155;	2851;2815;	0.761;0.846;
bei1	 pˈe‍i	F	2	390;325;	1996;1875;	3027;3159;	0.576;0.656;
bei3	 pˈe‍i	F	2	460;320;	2025;1783;	2970;2933;	0.397;0.523;
bei4	 pˈe‍i	F	2	370;354;	1864;1823;	3001;2982;	0.589;0.594;
ben1	 pˈən	F	1	535;	1676;	2453;	0.677;
ben3	 pˈən	F	1	487;	1805;	3111;	0.426;
ben4	 pˈən	F	1	505;	1665;	2534;	0.324;
beng1	 pˈəŋ	F	1	534;	1529;	2862;	0.689;
beng4	 pˈəŋ	F	1	519;	1551;	3119;	0.518;
bi1	 pˈi	F	1	319;	1844;	3141;	0.521;
bi2	 pˈi	F	1	307;	2250;	2861;	0.476;
bi3	 pˈi	F	1	300;	1880;	3072;	0.528;
bi4	 pˈi	F	1	307;	2036;	3131;	0.384;
bian1	 pˈi‍ɛn	F	2	352;674;	1542;1919;	2550;2647;	0.428;0.308;
bian3	 pˈi‍ɛn	F	2	360;605;	1807;2380;	2592;2857;	0.689;0.427;
bian4	 pˈi‍ɛn	F	2	393;656;	1580;2045;	2692;2832;	0.608;0.523;
biao1	 pjˈɑ‍u	F	2	823;433;	1174;1236;	2821;2709;	0.568;0.658;
biao3	 pjˈɑ‍u	F	2	732;491;	1057;794;	3301;3037;	0.389;0.499;
biao4	 pjˈɑ‍u	F	2	912;912;	1275;1275;	2890;2890;	0.326;0.326;
bie1	 pˈi‍ɛ	F	2	409;635;	2237;1733;	3146;2509;	0.157;0.342;
bie2	 pˈi‍ɛ	F	2	400;705;	2149;1686;	3000;2727;	0.649;0.859;
bie4	 pˈi‍ɛ	F	2	393;606;	2598;2038;	3227;2607;	0.609;0.819;
bin1	 pˈin	F	1	362;	1516;	2626;	0.515;
bin4	 pˈin	F	1	327;	1532;	2677;	0.765;
bing1	 pˈiŋ	F	1	437;	2437;	3047;	0.091;
bing3	 pˈiŋ	F	1	421;	2306;	3090;	0.264;
bing4	 pˈiŋ	F	1	403;	2558;	3126;	0.376;
bo1	 pˈo	F	1	532;	854;	3200;	0.417;
bo2	 pˈo	F	1	535;	864;	3180;	0.516;
bo3	 pˈo	F	1	493;	825;	3014;	0.316;
bo4	 pˈo	F	1	527;	880;	3130;	0.492;
bu3	 pˈu	F	1	379;	785;	2849;	0.923;
bu4	 pˈu	F	1	404;	865;	2916;	0.574;
ca1	 t‍s‍hˈɑ	F	1	833;	1395;	2366;	0.778;
cai1	 t‍s‍hˈa‍i	F	2	855;458;	1387;1457;	2673;2809;	0.495;0.610;
cai2	 t‍s‍hˈa‍i	F	2	912;329;	1501;1866;	2660;2982;	0.529;0.798;
cai3	 t‍s‍hˈa‍i	F	2	366;347;	2292;2156;	3084;2988;	1.382;1.387;
cai4	 t‍s‍hˈa‍i	F	2	873;495;	1457;2006;	2579;2716;	0.364;0.534;
can1	 t‍s‍hˈan	F	1	823;	1528;	2457;	1.145;
can2	 t‍s‍hˈan	F	1	869;	1496;	2777;	0.567;
can3	 t‍s‍hˈan	F	1	813;	1586;	2639;	0.881;
can4	 t‍s‍hˈan	F	1	842;	1500;	2672;	0.530;
cang1	 t‍s‍hˈaŋ	F	1	646;	1520;	2988;	0.647;
cang2	 t‍s‍hˈaŋ	F	1	968;	1760;	3151;	0.603;
cao1	 t‍s‍hˈɑ‍u	F	2	816;535;	1217;764;	2542;2783;	0.364;0.479;
cao2	 t‍s‍hˈɑ‍u	F	2	838;475;	1200;779;	2930;2744;	0.256;0.413;
cao3	 t‍s‍hˈɑ‍u	F	2	939;404;	1427;822;	2879;2895;	0.520;0.829;
ce4	 t‍s‍hˈo-	F	1	630;	1294;	2861;	0.726;
cen1	 t‍s‍hˈən	F	1	521;	1710;	2447;	0.532;
cha1	 t‍s.‍hˈɑ	F	1	806;	1306;	2828;	0.512;
cha2	 t‍s.‍hˈɑ	F	1	845;	1205;	2613;	0.274;
cha4	 t‍s.‍hˈɑ	F	1	854;	1216;	2604;	0.842;
chai1	 t‍s.‍hˈa‍i	F	2	785;355;	1420;1770;	2131;2801;	0.597;0.742;
chai2	 t‍s.‍hˈa‍i	F	2	1001;316;	1666;1767;	2512;2754;	0.719;0.864;
chan1	 t‍s.‍hˈan	F	1	799;	1400;	2178;	0.402;
chan2	 t‍s.‍hˈan	F	1	847;	1428;	2859;	0.574;
chan3	 t‍s.‍hˈan	F	1	494;	1786;	2874;	0.856;
chan4	 t‍s.‍hˈan	F	1	878;	1510;	2745;	0.418;
chang1	 t‍s.‍hˈɑŋ	F	1	796;	1340;	2675;	0.443;
chang2	 t‍s.‍hˈɑŋ	F	1	850;	1364;	2942;	0.287;
chang3	 t‍s.‍hˈɑŋ	F	1	891;	1372;	2712;	0.455;
chang4	 t‍s.‍hˈaŋ	F	1	854;	1404;	2820;	0.406;
chao1	 t‍s.‍hˈɑ‍u	F	2	749;395;	1260;786;	2945;2716;	0.687;0.877;
chao2	 t‍s.‍hˈɑ‍u	F	2	816;440;	1193;720;	2946;2703;	0.476;0.666;
chao3	 t‍s.‍hˈɑ‍u	F	2	811;449;	1197;803;	2701;3132;	0.438;0.708;
che1	 t‍s.‍hˈo-	F	1	606;	1020;	2941;	0.648;
che3	 t‍s.‍hˈo-	F	1	645;	1394;	2774;	0.856;
che4	 t‍s.‍hˈo-	F	1	644;	1407;	3042;	0.826;
chen1	 t‍s.‍hˈən	F	1	482;	1683;	2726;	0.698;
chen2	 t‍s.‍hˈən	F	1	500;	1758;	3034;	0.663;
chen4	 t‍s.‍hˈən	F	1	523;	1703;	2518;	0.652;
cheng1	 t‍s.‍hˈəŋ	F	1	557;	1504;	3119;	0.521;
cheng2	 t‍s.‍hˈəŋ	F	1	449;	1395;	2787;	0.435;
cheng4	 t‍s.‍hˈəŋ	F	1	569;	1666;	2907;	0.871;
chi1	 t‍s.‍hˈi.	F	1	450;	1953;	3112;	0.362;
chi2	 t‍s.‍hˈi.	F	1	417;	1880;	3017;	0.523;
chi3	 t‍s.‍hˈi.	F	1	431;	1952;	3140;	0.545;
chi4	 t‍s.‍hˈi.	F	1	433;	1861;	2997;	0.661;
chong1	 t‍s.‍hˈo‍n‍ɡ	F	1	649;	949;	3063;	0.471;
chong2	 t‍s.‍hˈo‍n‍ɡ	F	1	574;	1011;	2673;	0.937;
chong3	 t‍s.‍hˈo‍n‍ɡ	F	1	641;	1053;	3030;	0.686;
chong4	 t‍s.‍hˈo‍n‍ɡ	F	1	612;	954;	2708;	0.916;
chou1	 t‍s.‍hˈo‍u	F	2	607;497;	878;699;	3192;3081;	1.183;1.198;
chou2	 t‍s.‍hˈo‍u	F	2	522;394;	921;745;	3041;2954;	0.779;0.859;
chou3	 t‍s.‍hˈo‍u	F	2	536;475;	916;936;	2944;2910;	0.678;0.927;
chou4	 t‍s.‍hˈo‍u	F	2	536;445;	861;761;	3150;3129;	0.718;0.773;
chu1	 t‍s.‍hˈu	F	1	379;	734;	3079;	0.684;
chu2	 t‍s.‍hˈu	F	1	415;	806;	3034;	0.427;
chu3	 t‍s.‍hˈu	F	1	412;	782;	3070;	0.826;
chu4	 t‍s.‍hˈu	F	1	378;	755;	2891;	0.554;
chuai1	 t‍s.‍hˈu‍a‍i	F	3	576;842;467;	1304;1430;1498;	2644;2836;2847;	0.614;0.729;0.874;
chuai3	 t‍s.‍hˈu‍a‍i	F	3	596;919;371;	1318;1299;2452;	2758;2877;3028;	0.346;0.491;0.815;
chuai4	 t‍s.‍hˈu‍a‍i	F	3	544;886;544;	1335;1363;1335;	2728;2616;2728;	0.570;0.675;0.570;
chuan1	 t‍s.‍hˈu‍an	F	2	587;825;	1177;1382;	2806;2822;	0.651;0.746;
chuan2	 t‍s.‍hˈu‍an	F	2	372;816;	1098;1401;	2548;2936;	0.580;0.435;
chuan3	 t‍s.‍hˈu‍an	F	2	644;866;	1239;1330;	2705;3002;	0.567;0.642;
chuan4	 t‍s.‍hˈu‍an	F	2	694;860;	1283;1438;	2608;2623;	0.395;0.470;
chuang1	 t‍s.‍hwˈɑŋ	F	1	626;	1075;	2663;	0.330;
chuang2	 t‍s.‍hwˈɑŋ	F	1	773;	1149;	3176;	0.534;
chuang3	 t‍s.‍hwˈɑŋ	F	1	457;	1585;	2884;	0.854;
chuang4	 t‍s.‍hwˈɑŋ	F	1	819;	1158;	2945;	0.260;
chui1	 t‍s.‍hˈu‍e‍i	F	3	450;408;325;	1643;1824;1925;	2895;2875;2907;	0.489;0.499;0.564;
chui2	 t‍s.‍hˈu‍e‍i	F	3	406;385;320;	1421;1974;2211;	2759;3074;2896;	0.370;0.760;0.670;
chun1	 t‍s.‍hˈu‍ən	F	2	552;551;	1510;1597;	2584;2603;	0.207;0.202;
chun2	 t‍s.‍hˈu‍ən	F	2	446;510;	1371;1705;	2916;3092;	0.448;0.513;
chun3	 t‍s.‍hˈu‍ən	F	2	542;486;	1365;1505;	2917;2794;	0.647;0.597;
chuo1	 t‍s.‍hˈu‍o	F	2	431;544;	779;977;	2938;2417;	0.433;0.638;
chuo4	 t‍s.‍hˈu‍o	F	2	489;581;	786;890;	3022;3180;	0.535;0.600;
ci2	 t‍s‍hˈi̪	F	1	424;	1883;	3057;	0.675;
ci3	 t‍s‍hˈi̪	F	1	425;	1872;	3358;	0.701;
ci4	 t‍s‍hˈi̪	F	1	406;	1926;	2991;	0.276;
cong1	 t‍s‍hˈo‍n‍ɡ	F	1	469;	1099;	2735;	0.624;
cong2	 t‍s‍hˈo‍n‍ɡ	F	1	557;	929;	3146;	0.657;
cou4	 t‍s‍hˈo‍u	F	2	535;474;	904;859;	3062;2761;	0.594;0.654;
cu1	 t‍s‍hˈu	F	1	390;	770;	2756;	0.484;
cu4	 t‍s‍hˈu	F	1	413;	846;	2773;	0.430;
cuan2	 t‍s‍hˈu‍an	F	2	347;891;	1265;1507;	2572;2410;	0.771;0.686;
cuan4	 t‍s‍hˈu‍an	F	2	610;924;	1064;1322;	3128;3051;	0.324;0.389;
cui1	 t‍s‍hˈu‍e‍i	F	3	485;417;408;	1057;1787;1704;	3053;2852;2918;	0.773;0.818;0.828;
cui4	 t‍s‍hˈu‍e‍i	F	3	614;508;508;	1477;2354;2354;	3020;2858;2858;	0.417;0.602;0.602;
cun1	 t‍s‍hˈu‍ən	F	2	413;502;	1550;1574;	2966;3276;	0.379;0.434;
cun2	 t‍s‍hˈu‍ən	F	2	333;493;	1441;1669;	2641;2695;	0.755;0.640;
cun3	 t‍s‍hˈu‍ən	F	2	522;519;	1298;1340;	2882;2937;	0.234;0.219;
cun4	 t‍s‍hˈu‍ən	F	2	431;490;	1510;1582;	2598;2547;	0.464;0.454;
cuo1	 t‍s‍hˈu‍o	F	2	470;549;	1013;976;	2929;3037;	0.472;0.487;
cuo2	 t‍s‍hˈu‍o	F	2	448;527;	877;865;	3086;3034;	0.571;0.621;
cuo4	 t‍s‍hˈu‍o	F	2	452;530;	831;878;	3037;3052;	0.498;0.513;
